a,p,it,min1,max1,mean1,min2,max2,mean2
0.70,0.50,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.70,5.00,0.00,2.00,0.20,0.00,18.00,1.90
0.70,0.70,10.00,0.00,2.00,0.50,0.00,3.00,0.60
0.70,0.70,20.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.70,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.90,5.00,0.00,10.00,3.20,0.00,3.00,0.80
0.70,0.90,10.00,0.00,4.00,1.10,0.00,1.00,0.30
0.70,0.90,20.00,0.00,0.00,0.00,0.00,1.00,0.10
0.70,0.90,50.00,0.00,0.00,0.00,0.00,1.00,0.10
0.70,0.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.10,5.00,0.00,8.00,3.60,0.00,20.00,6.60
0.90,0.10,10.00,0.00,9.00,1.80,0.00,8.00,1.10
0.90,0.10,20.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.10,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.30,5.00,0.00,17.00,2.50,0.00,20.00,3.90
0.90,0.30,10.00,0.00,2.00,0.20,0.00,1.00,0.20
0.90,0.30,20.00,0.00,0.00,0.00,0.00,1.00,0.10
0.90,0.30,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.30,100.00,0.00,2.00,1.20,0.00,0.00,0.00
0.90,0.50,5.00,0.00,11.00,2.40,0.00,14.00,2.80
0.90,0.50,10.00,0.00,1.00,0.10,0.00,2.00,0.40
0.90,0.50,20.00,0.00,1.00,0.10,0.00,1.00,0.10
0.90,0.50,50.00,0.00,2.00,1.60,0.00,0.00,0.00
0.90,0.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.70,5.00,0.00,16.00,3.20,0.00,1.00,0.30
0.90,0.70,10.00,0.00,0.00,0.00,0.00,1.00,0.10
0.90,0.70,20.00,0.00,1.00,0.10,0.00,0.00,0.00
0.90,0.70,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.90,5.00,0.00,8.00,0.90,0.00,1.00,0.10
0.90,0.90,10.00,0.00,0.00,0.00,1.00,2.00,1.10
0.90,0.90,20.00,0.00,2.00,1.80,0.00,0.00,0.00
0.90,0.90,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.90,100.00,0.00,0.00,0.00,1.00,1.00,1.00
